,Questions,Answers,AttachedLinks
0,How do I declare the Data Science Minor?,Use the forms and follow the procedures for your home college. See How to Declare the Data Science Minor.,https://www.vanderbilt.edu/undergrad-datascience/how-to-declare-the-data-science-minor/
1,When should I declare the Data Science Minor?,"While minor declarations can be made any time, DS courses will give some preference to students who have officially declared the Data Science Minor. So we recommend declaring the minor sooner rather than later. It is always possible to drop a declared minor. Minor declarations must be submitted at least two weeks before registration begins. Otherwise, the minor declaration will not be processed until after registration. No preference will be given during registration for an “intent” to declare because the minor declaration was made too late.",No link attached
2,"I declared the Data Science Minor, but I did not get into the class I wanted to take for the minor. Why?","First, preference for students who have declared the minor only applies to DS courses, not other courses. Second, if you declared the minor within two weeks of registration, your minor declaration will. not show up on YES, and you will not have preference. Third, while we try to hold as many seats for students who have declared the minor as we can, not all seats are reserved.",No link attached
3,I am a first-year A&S student. Can I really declare the Data Science Minor now?,"Yes. While A&S students are usually prevented from declaring a major or minor until sophomore year, first-year A&S students can declare the Data Science Minor. As noted in the previous question, this can be important to do since some popular core DS courses will give some preference to students who have officially declared Data Science as a minor.",No link attached
4,"I am a current junior (rising senior), can I complete the Data Science Minor (for Spring 2021 juniors only)?","Juniors must contact the Director of Undergraduate Data Science to discuss options. DS 1000 is not open to current juniors (rising seniors). DS 3100 will not be taught next year (Fall 2021 or Spring 2022) and will need to be suitably replaced, which will require an approved plan from the Director. Furthermore, while DS / CS 3262 is current slated to be taught Spring 2022, that is not fully guaranteed, so students should see if they can take one of the other machine learning options.",No link attached
5,I am a rising senior or current senior and cannot register for DS 1000. Why?,"Rising seniors and current seniors can only register for DS 1000 if there are available seats immediately before the semester begins with permission of the instructor. DS 1000 is intended as an introduction to data science for first years and sophomores, which is why this restriction is in place.",No link attached
6,What college is the home of the Data Science Minor?,"The Data Science Minor is a trans-institutional minor, shared by A&S, Blair, Engineering, and Peabody.",No link attached
7,I am an A&S student. Do DS courses count as A&S courses?,"All courses with a DS prefix count as courses within each of the colleges, including A&S. If you are an A&S student, and are taking a course that is cross-listed, make sure you enroll in the one with the DS prefix. Electives outside of A&S without the DS prefix will generally not count as A&S courses, so plan accordingly.",No link attached
8,What are the unique credit hour rules for the Data Science Minor?,"Students electing an undergraduate minor in Data Science must follow academic regulations regarding minors in their home college, including but not limited to regulations regarding unique hours. The unique credit hour rule is specific to the College of Arts and Science and Peabody College. The School of Engineering and Blair School of Music do not have a unique credit hour rule. The Data Science minor cannot waive this rule. Please talk with your academic advisor about how to satisfy these requirements.",No link attached
9,DS 1000,"Thank you for your interest in DS 1000! The course is full for the fall 2021 semester. Due to student demand and the transinstitutional nature of the course, we cannot make special exceptions as to which students, if any, on the waitlist are able to enroll. DS 1000 will be offered again in the spring semester.",No link attached
10,What computer programming course should I take?,"See What Programming Course To Take? In general, students interested in data science and scientific computing (not in computer science per se) should learn Python (and R).",https://www.vanderbilt.edu/undergrad-datascience/2021/02/17/what-programming-course-to-take/
11,How do I find courses approved for the data science minor on YES?,"On YES, to select all courses approved for credit in the Data Science minor offered in a given semester, select the “Advanced” link next to the search box, select the “Class Attributes” drop-down box on the bottom right of the advanced search page, and then select “Eligible for Data Science” to find all courses. (Note that these course tags will not all be in place on YES until the registration period for Fall 2021 begins.)",No link attached
12,"Can other courses, besides those listed, count towards the Data Science Minor?","New courses, special topics courses, or graduate-level courses that seem related to data science could count as electives. Contact the Director of Undergraduate Data Science to request consideration.",No link attached
